,index,Adversaire,Date,Lieu,Genre,Infos,Victoire,Score vainqueur,Score perdant,Score mi-temps vainqueur,Score mi-temps perdant,Année,Compétition
757,?refer=match&param=1733&GET_CAT=1,PAYS-BAS,1987-06-13,ATHENES,Championnat d'Europe,13/06/1987 à ATHENES  (Grèce),True,94,80,43.0,53.0,1987,Championnat d'Europe 1987
758,?refer=match&param=2002&GET_CAT=1,ISLANDE,1987-09-10,MORGES,Qualifications Championnat d'Europe,10/09/1987 à MORGES  (Suisse),True,104,63,58.0,31.0,1987,Qualifications Championnat d'Europe
759,?refer=match&param=2003&GET_CAT=1,SUISSE,1987-09-11,MORGES,Qualifications Championnat d'Europe,11/09/1987 à MORGES  (Suisse),True,106,60,58.0,35.0,1987,Qualifications Championnat d'Europe
760,?refer=match&param=2004&GET_CAT=1,DANEMARK,1987-09-12,MORGES,Qualifications Championnat d'Europe,12/09/1987 à MORGES  (Suisse),True,123,95,57.0,52.0,1987,Qualifications Championnat d'Europe
761,?refer=match&param=2005&GET_CAT=1,POLOGNE,1987-11-05,PARIS,Qualifications Championnat d'Europe,05/11/1987 à PARIS  (France),True,94,83,38.0,42.0,1987,Qualifications Championnat d'Europe
762,?refer=match&param=2006&GET_CAT=1,URSS,1987-12-23,MOSCOU,Qualifications Championnat d'Europe,23/12/1987 à MOSCOU  (Russie),False,91,79,43.0,35.0,1987,Qualifications Championnat d'Europe
763,?refer=match&param=1380&GET_CAT=1,ISRAEL,1987-12-26,PARIS,Amical,26/12/1987 à PARIS  (France),False,100,86,51.0,29.0,1987,Amical
764,?refer=match&param=1381&GET_CAT=1,AUSTRALIE,1987-12-27,PARIS,Amical,27/12/1987 à PARIS  (France),True,78,75,29.0,39.0,1987,Amical
765,?refer=match&param=2007&GET_CAT=1,FINLANDE,1988-01-28,HELSINKI,Qualifications Championnat d'Europe,28/01/1988 à HELSINKI  (Finlande),True,88,76,37.0,35.0,1988,Qualifications Championnat d'Europe
766,?refer=match&param=1382&GET_CAT=1,GRECE,1988-01-31,EVRY,Amical,31/01/1988 à EVRY  (France),True,91,90,48.0,52.0,1988,Amical
767,?refer=match&param=2008&GET_CAT=1,URSS,1988-02-04,PARIS,Qualifications Championnat d'Europe,04/02/1988 à PARIS  (France),False,87,71,44.0,43.0,1988,Qualifications Championnat d'Europe
768,?refer=match&param=1383&GET_CAT=1,URSS,1988-05-26,DORTMUND,Amical,26/05/1988 à DORTMUND  (Allemagne),False,105,75,44.0,39.0,1988,Amical
769,?refer=match&param=1384&GET_CAT=1,ALLEMAGNE,1988-05-27,DORTMUND,Amical,27/05/1988 à DORTMUND  (Allemagne),False,83,78,42.0,36.0,1988,Amical
770,?refer=match&param=1385&GET_CAT=1,PAYS-BAS,1988-05-28,DORTMUND,Amical,28/05/1988 à DORTMUND  (Allemagne),False,79,78,55.0,40.0,1988,Amical
771,?refer=match&param=1386&GET_CAT=1,PAYS-BAS,1988-06-10,NANCY,Amical,10/06/1988 à NANCY  (France),True,90,88,50.0,32.0,1988,Amical
772,?refer=match&param=1387&GET_CAT=1,GRANDE-BRETAGNE,1988-06-11,EPINAL,Amical,11/06/1988 à EPINAL  (France),False,92,88,44.0,46.0,1988,Amical
773,?refer=match&param=1388&GET_CAT=1,ALLEMAGNE,1988-06-12,VITTEL,Amical,12/06/1988 à VITTEL  (France),True,107,82,49.0,39.0,1988,Amical
774,?refer=match&param=1389&GET_CAT=1,ITALIE,1988-06-17,PEROUSE,Amical,17/06/1988 à PEROUSE  (Italie),False,96,56,52.0,22.0,1988,Amical
775,?refer=match&param=1390&GET_CAT=1,ALLEMAGNE,1988-06-18,PEROUSE,Amical,18/06/1988 à PEROUSE  (Italie),False,94,88,48.0,52.0,1988,Amical
776,?refer=match&param=1391&GET_CAT=1,ISRAEL,1988-06-19,PEROUSE,Amical,19/06/1988 à PEROUSE  (Italie),True,96,84,54.0,46.0,1988,Amical
777,?refer=match&param=1392&GET_CAT=1,ETATS-UNIS,1988-06-21,PARIS,Amical,21/06/1988 à PARIS  (France),False,100,82,47.0,41.0,1988,Amical
